,Track_Name,Artist_Name,lyric_url,Track_ID,lyric,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,Position_two_wks,Artist_two_wks,Streams_two_wks,URL_two_wks,Position_one_wk,Artist_one_wk,Streams_one_wk,URL_one_wk,neg_lyric_score,neu_lyric_score,pos_lyric_score,com_lyric_score,neg_twitter_artist_score,neu_twitter_artist_score,pos_twitter_artist_score,com_twitter_artist_score,Artist_ID,Artist_followers,Artist_genres,Artist_popularity
0,Watermelon Sugar,Harry Styles,https://genius.com/Harry-styles-watermelon-sugar-lyrics,1e9oZCCiX42nJl0AcqriVo,"

[Verse 1]
I've been watchin' you for some time
Can't stop starin' at those ocean eyes
Burning cities and napalm skies
Fifteen flares inside those ocean eyes
Your ocean eyes

[Chorus]
No fair
You really know how to make me cry
When you give me those ocean eyes
I'm scared
I've never fallen from quite this high
Fallin' into your ocean eyes
Those ocean eyes

[Verse 2]
I've been walkin' through a world gone blind
Can't stop thinkin' of your diamond mind
Careful creature made friends with time
He left her lonely with a diamond mind
And those ocean eyes

[Chorus]
No fair (No fair)
You really know how to make me cry
When you give me those ocean eyes (Those ocean eyes)
I'm scared (I'm scared)
I've never fallen from quite this high
Fallin' into your ocean eyes
Those ocean eyes

[Instrumental Break]

[Chorus]
No fair
You really know how to make me cry
When you give me those ocean eyes
I'm scared
I've never fallen from quite this high
Fallin' into your ocean eyes
Those ocean eyes

",0.548,0.816,0,-4.209,1,0.0465,0.122,0.0,0.335,0.557,95.39,0.816,1e9oZCCiX42nJl0AcqriVo,spotify:track:1e9oZCCiX42nJl0AcqriVo,https://api.spotify.com/v1/tracks/1e9oZCCiX42nJl0AcqriVo,https://api.spotify.com/v1/audio-analysis/1e9oZCCiX42nJl0AcqriVo,174000,4,,,,,21,Harry Styles,13067797,https://open.spotify.com/track/1e9oZCCiX42nJl0AcqriVo,0.0,0.911,0.089,0.9502,0,0,0,0,6KImCVD70vtIoJWnq6nGn3,5393560,"['dance pop', 'pop', 'post-teen pop']",87
1,Mean It,Lauv,https://genius.com/Lauv-and-lany-mean-it-lyrics,3GRSqlALWISqLeNncZMbpX,"

[Verse 1]
I've been watchin' you for some time
Can't stop starin' at those ocean eyes
Burning cities and napalm skies
Fifteen flares inside those ocean eyes
Your ocean eyes

[Chorus]
No fair
You really know how to make me cry
When you give me those ocean eyes
I'm scared
I've never fallen from quite this high
Fallin' into your ocean eyes
Those ocean eyes

[Verse 2]
I've been walkin' through a world gone blind
Can't stop thinkin' of your diamond mind
Careful creature made friends with time
He left her lonely with a diamond mind
And those ocean eyes

[Chorus]
No fair (No fair)
You really know how to make me cry
When you give me those ocean eyes (Those ocean eyes)
I'm scared (I'm scared)
I've never fallen from quite this high
Fallin' into your ocean eyes
Those ocean eyes

[Instrumental Break]

[Chorus]
No fair
You really know how to make me cry
When you give me those ocean eyes
I'm scared
I've never fallen from quite this high
Fallin' into your ocean eyes
Those ocean eyes

",0.746,0.45,7,-8.543,1,0.0872,0.0407,0.0,0.172,0.336,95.998,0.45,3GRSqlALWISqLeNncZMbpX,spotify:track:3GRSqlALWISqLeNncZMbpX,https://api.spotify.com/v1/tracks/3GRSqlALWISqLeNncZMbpX,https://api.spotify.com/v1/audio-analysis/3GRSqlALWISqLeNncZMbpX,232853,4,,,,,27,Lauv,12015729,https://open.spotify.com/track/3GRSqlALWISqLeNncZMbpX,0.103,0.843,0.053,-0.9478,0,0,0,0,5JZ7CnR6gTvEMKX4g70Amv,1956048,['pop'],90
2,Lover (Remix) [feat. Shawn Mendes],Taylor Swift,https://genius.com/Taylor-swift-lover-remix-lyrics,3i9UVldZOE0aD0JnyfAZZ0,"

[Verse 1]
I've been watchin' you for some time
Can't stop starin' at those ocean eyes
Burning cities and napalm skies
Fifteen flares inside those ocean eyes
Your ocean eyes

[Chorus]
No fair
You really know how to make me cry
When you give me those ocean eyes
I'm scared
I've never fallen from quite this high
Fallin' into your ocean eyes
Those ocean eyes

[Verse 2]
I've been walkin' through a world gone blind
Can't stop thinkin' of your diamond mind
Careful creature made friends with time
He left her lonely with a diamond mind
And those ocean eyes

[Chorus]
No fair (No fair)
You really know how to make me cry
When you give me those ocean eyes (Those ocean eyes)
I'm scared (I'm scared)
I've never fallen from quite this high
Fallin' into your ocean eyes
Those ocean eyes

[Instrumental Break]

[Chorus]
No fair
You really know how to make me cry
When you give me those ocean eyes
I'm scared
I've never fallen from quite this high
Fallin' into your ocean eyes
Those ocean eyes

",0.448,0.603,7,-7.176,1,0.064,0.433,0.0,0.0862,0.422,205.272,0.603,3i9UVldZOE0aD0JnyfAZZ0,spotify:track:3i9UVldZOE0aD0JnyfAZZ0,https://api.spotify.com/v1/tracks/3i9UVldZOE0aD0JnyfAZZ0,https://api.spotify.com/v1/audio-analysis/3i9UVldZOE0aD0JnyfAZZ0,221307,3,,,,,33,Taylor Swift,11458619,https://open.spotify.com/track/3i9UVldZOE0aD0JnyfAZZ0,0.013,0.817,0.17,0.9946,0,0,0,0,06HL4z0CvFAxyc27GXpf02,24673165,"['pop', 'post-teen pop']",95
3,Up All Night,Khalid,https://genius.com/Khalid-up-all-night-lyrics,1mpD5Q8IM32I4bF6eCpU74,"

[Verse 1]
I've been watchin' you for some time
Can't stop starin' at those ocean eyes
Burning cities and napalm skies
Fifteen flares inside those ocean eyes
Your ocean eyes

[Chorus]
No fair
You really know how to make me cry
When you give me those ocean eyes
I'm scared
I've never fallen from quite this high
Fallin' into your ocean eyes
Those ocean eyes

[Verse 2]
I've been walkin' through a world gone blind
Can't stop thinkin' of your diamond mind
Careful creature made friends with time
He left her lonely with a diamond mind
And those ocean eyes

[Chorus]
No fair (No fair)
You really know how to make me cry
When you give me those ocean eyes (Those ocean eyes)
I'm scared (I'm scared)
I've never fallen from quite this high
Fallin' into your ocean eyes
Those ocean eyes

[Instrumental Break]

[Chorus]
No fair
You really know how to make me cry
When you give me those ocean eyes
I'm scared
I've never fallen from quite this high
Fallin' into your ocean eyes
Those ocean eyes

",0.665,0.712,1,-7.536,1,0.0527,0.00103,0.00342,0.102,0.669,93.989,0.712,1mpD5Q8IM32I4bF6eCpU74,spotify:track:1mpD5Q8IM32I4bF6eCpU74,https://api.spotify.com/v1/tracks/1mpD5Q8IM32I4bF6eCpU74,https://api.spotify.com/v1/audio-analysis/1mpD5Q8IM32I4bF6eCpU74,157220,4,,,,,51,Khalid,8804919,https://open.spotify.com/track/1mpD5Q8IM32I4bF6eCpU74,0.075,0.828,0.097,0.8403,0,0,0,0,6LuN9FCkKOj5PcnpouEgny,9438781,"['alternative r&b', 'pop']",96
4,Falling,Trevor Daniel,https://genius.com/Trevor-daniel-falling-lyrics,4TnjEaWOeW0eKTKIEvJyCa,"

[Verse 1]
I've been watchin' you for some time
Can't stop starin' at those ocean eyes
Burning cities and napalm skies
Fifteen flares inside those ocean eyes
Your ocean eyes

[Chorus]
No fair
You really know how to make me cry
When you give me those ocean eyes
I'm scared
I've never fallen from quite this high
Fallin' into your ocean eyes
Those ocean eyes

[Verse 2]
I've been walkin' through a world gone blind
Can't stop thinkin' of your diamond mind
Careful creature made friends with time
He left her lonely with a diamond mind
And those ocean eyes

[Chorus]
No fair (No fair)
You really know how to make me cry
When you give me those ocean eyes (Those ocean eyes)
I'm scared (I'm scared)
I've never fallen from quite this high
Fallin' into your ocean eyes
Those ocean eyes

[Instrumental Break]

[Chorus]
No fair
You really know how to make me cry
When you give me those ocean eyes
I'm scared
I've never fallen from quite this high
Fallin' into your ocean eyes
Those ocean eyes

",0.784,0.43,10,-8.756,0,0.0364,0.123,0.0,0.0887,0.236,127.087,0.43,4TnjEaWOeW0eKTKIEvJyCa,spotify:track:4TnjEaWOeW0eKTKIEvJyCa,https://api.spotify.com/v1/tracks/4TnjEaWOeW0eKTKIEvJyCa,https://api.spotify.com/v1/audio-analysis/4TnjEaWOeW0eKTKIEvJyCa,159382,4,,,,,64,Trevor Daniel,7610731,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa,0.051,0.791,0.158,0.9883,0,0,0,0,7uaIm6Pw7xplS8Dy06V6pT,71058,"['alternative r&b', 'melodic rap']",79
5,Tongue Tied (with YUNGBLUD & blackbear),Marshmello,https://genius.com/Marshmello-yungblud-and-blackbear-tongue-tied-lyrics,7jzldCBnJjpJM3epzJ85KE,"

[Verse 1]
I've been watchin' you for some time
Can't stop starin' at those ocean eyes
Burning cities and napalm skies
Fifteen flares inside those ocean eyes
Your ocean eyes

[Chorus]
No fair
You really know how to make me cry
When you give me those ocean eyes
I'm scared
I've never fallen from quite this high
Fallin' into your ocean eyes
Those ocean eyes

[Verse 2]
I've been walkin' through a world gone blind
Can't stop thinkin' of your diamond mind
Careful creature made friends with time
He left her lonely with a diamond mind
And those ocean eyes

[Chorus]
No fair (No fair)
You really know how to make me cry
When you give me those ocean eyes (Those ocean eyes)
I'm scared (I'm scared)
I've never fallen from quite this high
Fallin' into your ocean eyes
Those ocean eyes

[Instrumental Break]

[Chorus]
No fair
You really know how to make me cry
When you give me those ocean eyes
I'm scared
I've never fallen from quite this high
Fallin' into your ocean eyes
Those ocean eyes

",0.628,0.821,1,-2.721,0,0.0525,0.0208,0.0,0.426,0.465,93.001,0.821,7jzldCBnJjpJM3epzJ85KE,spotify:track:7jzldCBnJjpJM3epzJ85KE,https://api.spotify.com/v1/tracks/7jzldCBnJjpJM3epzJ85KE,https://api.spotify.com/v1/audio-analysis/7jzldCBnJjpJM3epzJ85KE,186024,4,,,,,72,Marshmello,7250495,https://open.spotify.com/track/7jzldCBnJjpJM3epzJ85KE,0.146,0.765,0.089,-0.9802,0,0,0,0,64KEffDW9EtZ1y2vBYgq8T,18687738,"['brostep', 'progressive electro house']",90
6,Jerry Sprunger (with T-Pain),Tory Lanez,https://genius.com/Tory-lanez-and-t-pain-jerry-sprunger-lyrics,6JsHgIkMYHcbNtKfsal2Mg,"

[Verse 1]
I've been watchin' you for some time
Can't stop starin' at those ocean eyes
Burning cities and napalm skies
Fifteen flares inside those ocean eyes
Your ocean eyes

[Chorus]
No fair
You really know how to make me cry
When you give me those ocean eyes
I'm scared
I've never fallen from quite this high
Fallin' into your ocean eyes
Those ocean eyes

[Verse 2]
I've been walkin' through a world gone blind
Can't stop thinkin' of your diamond mind
Careful creature made friends with time
He left her lonely with a diamond mind
And those ocean eyes

[Chorus]
No fair (No fair)
You really know how to make me cry
When you give me those ocean eyes (Those ocean eyes)
I'm scared (I'm scared)
I've never fallen from quite this high
Fallin' into your ocean eyes
Those ocean eyes

[Instrumental Break]

[Chorus]
No fair
You really know how to make me cry
When you give me those ocean eyes
I'm scared
I've never fallen from quite this high
Fallin' into your ocean eyes
Those ocean eyes

",0.76,0.746,0,-5.331,0,0.227,0.137,0.0,0.0905,0.449,100.011,0.746,6JsHgIkMYHcbNtKfsal2Mg,spotify:track:6JsHgIkMYHcbNtKfsal2Mg,https://api.spotify.com/v1/tracks/6JsHgIkMYHcbNtKfsal2Mg,https://api.spotify.com/v1/audio-analysis/6JsHgIkMYHcbNtKfsal2Mg,233546,4,,,,,85,Tory Lanez,6740180,https://open.spotify.com/track/6JsHgIkMYHcbNtKfsal2Mg,0.041,0.874,0.084,0.9817,0,0,0,0,2jku7tDXc6XoB6MO2hFuqg,2612308,"['canadian hip hop', 'hip hop', 'melodic rap', 'pop rap', 'rap', 'southern hip hop', 'toronto rap', 'trap']",88
7,Reply (feat. Lil Uzi Vert),A Boogie Wit da Hoodie,https://genius.com/A-boogie-wit-da-hoodie-reply-lyrics,364spZLB5bhNlnPrzvUB41,"

[Verse 1]
I've been watchin' you for some time
Can't stop starin' at those ocean eyes
Burning cities and napalm skies
Fifteen flares inside those ocean eyes
Your ocean eyes

[Chorus]
No fair
You really know how to make me cry
When you give me those ocean eyes
I'm scared
I've never fallen from quite this high
Fallin' into your ocean eyes
Those ocean eyes

[Verse 2]
I've been walkin' through a world gone blind
Can't stop thinkin' of your diamond mind
Careful creature made friends with time
He left her lonely with a diamond mind
And those ocean eyes

[Chorus]
No fair (No fair)
You really know how to make me cry
When you give me those ocean eyes (Those ocean eyes)
I'm scared (I'm scared)
I've never fallen from quite this high
Fallin' into your ocean eyes
Those ocean eyes

[Instrumental Break]

[Chorus]
No fair
You really know how to make me cry
When you give me those ocean eyes
I'm scared
I've never fallen from quite this high
Fallin' into your ocean eyes
Those ocean eyes

",0.512,0.623,9,-6.553,0,0.0808,0.0187,0.0,0.13,0.219,112.15,0.623,364spZLB5bhNlnPrzvUB41,spotify:track:364spZLB5bhNlnPrzvUB41,https://api.spotify.com/v1/tracks/364spZLB5bhNlnPrzvUB41,https://api.spotify.com/v1/audio-analysis/364spZLB5bhNlnPrzvUB41,183589,5,,,,,86,A Boogie Wit da Hoodie,6725748,https://open.spotify.com/track/364spZLB5bhNlnPrzvUB41,0.144,0.759,0.097,-0.9901,0,0,0,0,31W5EY0aAly4Qieq6OFu6I,3694309,"['melodic rap', 'pop rap', 'rap', 'trap']",91
8,Living Proof,Camila Cabello,https://genius.com/Camila-cabello-living-proof-lyrics,1jg9clsGCDqOumfS0X5xm9,"

[Verse 1]
I've been watchin' you for some time
Can't stop starin' at those ocean eyes
Burning cities and napalm skies
Fifteen flares inside those ocean eyes
Your ocean eyes

[Chorus]
No fair
You really know how to make me cry
When you give me those ocean eyes
I'm scared
I've never fallen from quite this high
Fallin' into your ocean eyes
Those ocean eyes

[Verse 2]
I've been walkin' through a world gone blind
Can't stop thinkin' of your diamond mind
Careful creature made friends with time
He left her lonely with a diamond mind
And those ocean eyes

[Chorus]
No fair (No fair)
You really know how to make me cry
When you give me those ocean eyes (Those ocean eyes)
I'm scared (I'm scared)
I've never fallen from quite this high
Fallin' into your ocean eyes
Those ocean eyes

[Instrumental Break]

[Chorus]
No fair
You really know how to make me cry
When you give me those ocean eyes
I'm scared
I've never fallen from quite this high
Fallin' into your ocean eyes
Those ocean eyes

",0.735,0.514,7,-5.464,1,0.082,0.109,0.0,0.359,0.517,77.566,0.514,1jg9clsGCDqOumfS0X5xm9,spotify:track:1jg9clsGCDqOumfS0X5xm9,https://api.spotify.com/v1/tracks/1jg9clsGCDqOumfS0X5xm9,https://api.spotify.com/v1/audio-analysis/1jg9clsGCDqOumfS0X5xm9,194440,4,,,,,101,Camila Cabello,6163667,https://open.spotify.com/track/1jg9clsGCDqOumfS0X5xm9,0.0,0.747,0.253,0.9986,0,0,0,0,4nDoRrQiYLoBzwC5BhVJzF,13263752,"['dance pop', 'pop', 'post-teen pop']",94
9,Hola - Remix,Dalex,https://genius.com/Dalex-lenny-tavarez-and-chencho-corleone-hola-remix-lyrics,5stPVcRqb4qixbafP9e8lt,"

[Verse 1]
I've been watchin' you for some time
Can't stop starin' at those ocean eyes
Burning cities and napalm skies
Fifteen flares inside those ocean eyes
Your ocean eyes

[Chorus]
No fair
You really know how to make me cry
When you give me those ocean eyes
I'm scared
I've never fallen from quite this high
Fallin' into your ocean eyes
Those ocean eyes

[Verse 2]
I've been walkin' through a world gone blind
Can't stop thinkin' of your diamond mind
Careful creature made friends with time
He left her lonely with a diamond mind
And those ocean eyes

[Chorus]
No fair (No fair)
You really know how to make me cry
When you give me those ocean eyes (Those ocean eyes)
I'm scared (I'm scared)
I've never fallen from quite this high
Fallin' into your ocean eyes
Those ocean eyes

[Instrumental Break]

[Chorus]
No fair
You really know how to make me cry
When you give me those ocean eyes
I'm scared
I've never fallen from quite this high
Fallin' into your ocean eyes
Those ocean eyes

",0.654,0.672,0,-5.98,0,0.311,0.471,0.0,0.0781,0.343,181.857,0.672,5stPVcRqb4qixbafP9e8lt,spotify:track:5stPVcRqb4qixbafP9e8lt,https://api.spotify.com/v1/tracks/5stPVcRqb4qixbafP9e8lt,https://api.spotify.com/v1/audio-analysis/5stPVcRqb4qixbafP9e8lt,249520,4,,,,,142,Dalex,5239407,https://open.spotify.com/track/5stPVcRqb4qixbafP9e8lt,0.04,0.954,0.006,-0.9443,0,0,0,0,0KPX4Ucy9dk82uj4GpKesn,645330,"['latin', 'r&b en espanol']",91
10,Santa Tell Me,Ariana Grande,https://genius.com/Ariana-grande-santa-tell-me-lyrics,0lizgQ7Qw35od7CYaoMBZb,"

[Verse 1]
I've been watchin' you for some time
Can't stop starin' at those ocean eyes
Burning cities and napalm skies
Fifteen flares inside those ocean eyes
Your ocean eyes

[Chorus]
No fair
You really know how to make me cry
When you give me those ocean eyes
I'm scared
I've never fallen from quite this high
Fallin' into your ocean eyes
Those ocean eyes

[Verse 2]
I've been walkin' through a world gone blind
Can't stop thinkin' of your diamond mind
Careful creature made friends with time
He left her lonely with a diamond mind
And those ocean eyes

[Chorus]
No fair (No fair)
You really know how to make me cry
When you give me those ocean eyes (Those ocean eyes)
I'm scared (I'm scared)
I've never fallen from quite this high
Fallin' into your ocean eyes
Those ocean eyes

[Instrumental Break]

[Chorus]
No fair
You really know how to make me cry
When you give me those ocean eyes
I'm scared
I've never fallen from quite this high
Fallin' into your ocean eyes
Those ocean eyes

",0.525,0.621,7,-7.364,1,0.116,0.0489,0.0,0.294,0.591,191.9,0.621,0lizgQ7Qw35od7CYaoMBZb,spotify:track:0lizgQ7Qw35od7CYaoMBZb,https://api.spotify.com/v1/tracks/0lizgQ7Qw35od7CYaoMBZb,https://api.spotify.com/v1/audio-analysis/0lizgQ7Qw35od7CYaoMBZb,204093,4,,,,,152,Ariana Grande,5121609,https://open.spotify.com/track/0lizgQ7Qw35od7CYaoMBZb,0.019,0.827,0.155,0.9965,0,0,0,0,66CXWjxzNUsdJxJ2JdwvnR,38856885,"['dance pop', 'pop', 'post-teen pop']",96
11,Ayy Macarena,Tyga,https://genius.com/Tyga-ayy-macarena-lyrics,6LcauUZjF1eXQrgqMUecHX,"

[Verse 1]
I've been watchin' you for some time
Can't stop starin' at those ocean eyes
Burning cities and napalm skies
Fifteen flares inside those ocean eyes
Your ocean eyes

[Chorus]
No fair
You really know how to make me cry
When you give me those ocean eyes
I'm scared
I've never fallen from quite this high
Fallin' into your ocean eyes
Those ocean eyes

[Verse 2]
I've been walkin' through a world gone blind
Can't stop thinkin' of your diamond mind
Careful creature made friends with time
He left her lonely with a diamond mind
And those ocean eyes

[Chorus]
No fair (No fair)
You really know how to make me cry
When you give me those ocean eyes (Those ocean eyes)
I'm scared (I'm scared)
I've never fallen from quite this high
Fallin' into your ocean eyes
Those ocean eyes

[Instrumental Break]

[Chorus]
No fair
You really know how to make me cry
When you give me those ocean eyes
I'm scared
I've never fallen from quite this high
Fallin' into your ocean eyes
Those ocean eyes

",0.816,0.63,2,-5.568,1,0.226,0.133,0.0,0.0692,0.715,96.493,0.63,6LcauUZjF1eXQrgqMUecHX,spotify:track:6LcauUZjF1eXQrgqMUecHX,https://api.spotify.com/v1/tracks/6LcauUZjF1eXQrgqMUecHX,https://api.spotify.com/v1/audio-analysis/6LcauUZjF1eXQrgqMUecHX,131607,4,,,,,159,Tyga,4859062,https://open.spotify.com/track/6LcauUZjF1eXQrgqMUecHX,0.186,0.767,0.048,-0.9979,0,0,0,0,5LHRHt1k9lMyONurDHEdrp,5217970,"['hip hop', 'pop rap', 'rap', 'trap']",91
12,fuck 3x,tha Supreme,https://genius.com/Tha-supreme-fuck-3x-lyrics,5YxP1CkunbhUQVvctFOHa7,"

[Verse 1]
I've been watchin' you for some time
Can't stop starin' at those ocean eyes
Burning cities and napalm skies
Fifteen flares inside those ocean eyes
Your ocean eyes

[Chorus]
No fair
You really know how to make me cry
When you give me those ocean eyes
I'm scared
I've never fallen from quite this high
Fallin' into your ocean eyes
Those ocean eyes

[Verse 2]
I've been walkin' through a world gone blind
Can't stop thinkin' of your diamond mind
Careful creature made friends with time
He left her lonely with a diamond mind
And those ocean eyes

[Chorus]
No fair (No fair)
You really know how to make me cry
When you give me those ocean eyes (Those ocean eyes)
I'm scared (I'm scared)
I've never fallen from quite this high
Fallin' into your ocean eyes
Those ocean eyes

[Instrumental Break]

[Chorus]
No fair
You really know how to make me cry
When you give me those ocean eyes
I'm scared
I've never fallen from quite this high
Fallin' into your ocean eyes
Those ocean eyes

",0.655,0.814,5,-5.472,0,0.0823,0.0698,0.0,0.107,0.69,180.082,0.814,5YxP1CkunbhUQVvctFOHa7,spotify:track:5YxP1CkunbhUQVvctFOHa7,https://api.spotify.com/v1/tracks/5YxP1CkunbhUQVvctFOHa7,https://api.spotify.com/v1/audio-analysis/5YxP1CkunbhUQVvctFOHa7,161266,4,,,,,164,tha Supreme,4777307,https://open.spotify.com/track/5YxP1CkunbhUQVvctFOHa7,0.051,0.906,0.043,-0.8719,0,0,0,0,19i93sA0D7yS9dYoVNBqAA,388542,['trap italiana'],87
13,all the good girls go to hell,Billie Eilish,https://genius.com/Billie-eilish-all-the-good-girls-go-to-hell-lyrics,6IRdLKIyS4p7XNiP8r6rsx,"

[Verse 1]
I've been watchin' you for some time
Can't stop starin' at those ocean eyes
Burning cities and napalm skies
Fifteen flares inside those ocean eyes
Your ocean eyes

[Chorus]
No fair
You really know how to make me cry
When you give me those ocean eyes
I'm scared
I've never fallen from quite this high
Fallin' into your ocean eyes
Those ocean eyes

[Verse 2]
I've been walkin' through a world gone blind
Can't stop thinkin' of your diamond mind
Careful creature made friends with time
He left her lonely with a diamond mind
And those ocean eyes

[Chorus]
No fair (No fair)
You really know how to make me cry
When you give me those ocean eyes (Those ocean eyes)
I'm scared (I'm scared)
I've never fallen from quite this high
Fallin' into your ocean eyes
Those ocean eyes

[Instrumental Break]

[Chorus]
No fair
You really know how to make me cry
When you give me those ocean eyes
I'm scared
I've never fallen from quite this high
Fallin' into your ocean eyes
Those ocean eyes

",0.726,0.444,8,-8.922,0,0.372,0.283,0.143,0.177,0.569,185.044,0.444,6IRdLKIyS4p7XNiP8r6rsx,spotify:track:6IRdLKIyS4p7XNiP8r6rsx,https://api.spotify.com/v1/tracks/6IRdLKIyS4p7XNiP8r6rsx,https://api.spotify.com/v1/audio-analysis/6IRdLKIyS4p7XNiP8r6rsx,168840,4,,,,,188,Billie Eilish,4531067,https://open.spotify.com/track/6IRdLKIyS4p7XNiP8r6rsx,0.262,0.599,0.139,-0.9911,0,0,0,0,6qqNVTkY8uBg9cP3Jd7DAH,16445261,"['electropop', 'pop']",97
14,all the good girls go to hell,Billie Eilish,https://genius.com/Billie-eilish-all-the-good-girls-go-to-hell-lyrics,6IRdLKIyS4p7XNiP8r6rsx,"

[Verse 1]
I've been watchin' you for some time
Can't stop starin' at those ocean eyes
Burning cities and napalm skies
Fifteen flares inside those ocean eyes
Your ocean eyes

[Chorus]
No fair
You really know how to make me cry
When you give me those ocean eyes
I'm scared
I've never fallen from quite this high
Fallin' into your ocean eyes
Those ocean eyes

[Verse 2]
I've been walkin' through a world gone blind
Can't stop thinkin' of your diamond mind
Careful creature made friends with time
He left her lonely with a diamond mind
And those ocean eyes

[Chorus]
No fair (No fair)
You really know how to make me cry
When you give me those ocean eyes (Those ocean eyes)
I'm scared (I'm scared)
I've never fallen from quite this high
Fallin' into your ocean eyes
Those ocean eyes

[Instrumental Break]

[Chorus]
No fair
You really know how to make me cry
When you give me those ocean eyes
I'm scared
I've never fallen from quite this high
Fallin' into your ocean eyes
Those ocean eyes

",0.726,0.444,8,-8.922,0,0.372,0.283,0.143,0.177,0.569,185.044,0.444,6IRdLKIyS4p7XNiP8r6rsx,spotify:track:6IRdLKIyS4p7XNiP8r6rsx,https://api.spotify.com/v1/tracks/6IRdLKIyS4p7XNiP8r6rsx,https://api.spotify.com/v1/audio-analysis/6IRdLKIyS4p7XNiP8r6rsx,168840,4,,,,,177,Billie Eilish,4837277,https://open.spotify.com/track/6IRdLKIyS4p7XNiP8r6rsx,0.262,0.599,0.139,-0.9911,0,0,0,0,6qqNVTkY8uBg9cP3Jd7DAH,16445261,"['electropop', 'pop']",97
15,all the good girls go to hell,Billie Eilish,https://genius.com/Billie-eilish-all-the-good-girls-go-to-hell-lyrics,6IRdLKIyS4p7XNiP8r6rsx,"

[Verse 1]
I've been watchin' you for some time
Can't stop starin' at those ocean eyes
Burning cities and napalm skies
Fifteen flares inside those ocean eyes
Your ocean eyes

[Chorus]
No fair
You really know how to make me cry
When you give me those ocean eyes
I'm scared
I've never fallen from quite this high
Fallin' into your ocean eyes
Those ocean eyes

[Verse 2]
I've been walkin' through a world gone blind
Can't stop thinkin' of your diamond mind
Careful creature made friends with time
He left her lonely with a diamond mind
And those ocean eyes

[Chorus]
No fair (No fair)
You really know how to make me cry
When you give me those ocean eyes (Those ocean eyes)
I'm scared (I'm scared)
I've never fallen from quite this high
Fallin' into your ocean eyes
Those ocean eyes

[Instrumental Break]

[Chorus]
No fair
You really know how to make me cry
When you give me those ocean eyes
I'm scared
I've never fallen from quite this high
Fallin' into your ocean eyes
Those ocean eyes

",0.726,0.444,8,-8.922,0,0.372,0.283,0.143,0.177,0.569,185.044,0.444,6IRdLKIyS4p7XNiP8r6rsx,spotify:track:6IRdLKIyS4p7XNiP8r6rsx,https://api.spotify.com/v1/tracks/6IRdLKIyS4p7XNiP8r6rsx,https://api.spotify.com/v1/audio-analysis/6IRdLKIyS4p7XNiP8r6rsx,168840,4,,,,,188,Billie Eilish,4531067,https://open.spotify.com/track/6IRdLKIyS4p7XNiP8r6rsx,0.262,0.599,0.139,-0.9911,0,0,0,0,6qqNVTkY8uBg9cP3Jd7DAH,16445261,"['electropop', 'pop']",97
16,all the good girls go to hell,Billie Eilish,https://genius.com/Billie-eilish-all-the-good-girls-go-to-hell-lyrics,6IRdLKIyS4p7XNiP8r6rsx,"

[Verse 1]
I've been watchin' you for some time
Can't stop starin' at those ocean eyes
Burning cities and napalm skies
Fifteen flares inside those ocean eyes
Your ocean eyes

[Chorus]
No fair
You really know how to make me cry
When you give me those ocean eyes
I'm scared
I've never fallen from quite this high
Fallin' into your ocean eyes
Those ocean eyes

[Verse 2]
I've been walkin' through a world gone blind
Can't stop thinkin' of your diamond mind
Careful creature made friends with time
He left her lonely with a diamond mind
And those ocean eyes

[Chorus]
No fair (No fair)
You really know how to make me cry
When you give me those ocean eyes (Those ocean eyes)
I'm scared (I'm scared)
I've never fallen from quite this high
Fallin' into your ocean eyes
Those ocean eyes

[Instrumental Break]

[Chorus]
No fair
You really know how to make me cry
When you give me those ocean eyes
I'm scared
I've never fallen from quite this high
Fallin' into your ocean eyes
Those ocean eyes

",0.726,0.444,8,-8.922,0,0.372,0.283,0.143,0.177,0.569,185.044,0.444,6IRdLKIyS4p7XNiP8r6rsx,spotify:track:6IRdLKIyS4p7XNiP8r6rsx,https://api.spotify.com/v1/tracks/6IRdLKIyS4p7XNiP8r6rsx,https://api.spotify.com/v1/audio-analysis/6IRdLKIyS4p7XNiP8r6rsx,168840,4,,,,,177,Billie Eilish,4837277,https://open.spotify.com/track/6IRdLKIyS4p7XNiP8r6rsx,0.262,0.599,0.139,-0.9911,0,0,0,0,6qqNVTkY8uBg9cP3Jd7DAH,16445261,"['electropop', 'pop']",97
